@relation vote

@attribute handicapped_infants numeric
@attribute water_project_cost_sharing numeric
@attribute adoption_of_the_budget_resolution numeric
@attribute physician_fee_freeze numeric
@attribute el_salvador_aid numeric
@attribute religious_groups_in_schools numeric
@attribute anti_satellite_test_ban numeric
@attribute aid_to_nicaraguan_contras numeric
@attribute mx_missile numeric
@attribute immigration numeric
@attribute synfuels_corporation_cutback numeric
@attribute education_spending numeric
@attribute superfund_right_to_sue numeric
@attribute crime numeric
@attribute duty_free_exports numeric
@attribute export_administration_act_south_africa numeric
@attribute Class {republican,democrat}

@data
0,1,0,1,1,1,0,0,0,1,0.362319,1,1,1,0,1,republican
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0.812689,republican
0.44208,1,1,0.417453,1,1,0,0,0,0,1,0,1,1,0,0,democrat
0,1,1,0,0.504762,1,0,0,0,0,1,0,1,0,0,1,democrat
1,1,1,0,1,1,0,0,0,0,1,0.423267,1,1,1,1,democrat
0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,democrat
0,1,0,1,1,1,0,0,0,0,0,0,0.509756,1,1,1,democrat
0,1,0,1,1,1,0,0,0,0,0,0,1,1,0.427518,1,republican
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,republican
1,1,1,0,0,0,1,1,1,0,0,0,0,0,0.427518,0.812689,democrat
0,1,0,1,1,0,0,0,0,0,0.362319,0.423267,1,1,0,0,republican
0,1,0,1,1,1,0,0,0,0,1,0.423267,1,1,0.427518,0.812689,republican
0,1,1,0,0,0,1,1,1,0,0,0,1,0,0.427518,0.812689,democrat
1,1,1,0,0,1,1,1,0.501211,1,1,0.423267,0,0,1,0.812689,democrat
0,1,0,1,1,1,0,0,0,0,0,1,0.509756,0.593301,0,0.812689,republican
0,1,0,1,1,1,0,0,0,1,0,1,1,0.593301,0,0.812689,republican
1,0,1,0,0,1,0,1,0.501211,1,1,1,0.509756,0,0,1,democrat
1,0.503876,1,0,0,0,1,1,1,0,0,0,1,0,1,1,democrat
0,1,0,1,1,1,0,0,0,0,0,0.423267,1,1,0,0,republican
1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,democrat
1,1,1,0,0,0.641509,1,1,0,0,1,0,0,0,1,1,democrat
1,1,1,0,0,0,1,1,1,0,0,0,0.509756,0.593301,1,1,democrat
1,0.503876,1,0,0,0,1,1,1,0,0,0.423267,0,0,1,1,democrat
1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,democrat
1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0.812689,democrat
1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,democrat
1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,democrat
1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,democrat
1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,republican
1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,democrat
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,republican
1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0.812689,democrat
1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,democrat
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,republican
1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,democrat
0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,republican
1,0.503876,0,1,1,1,0,0,0,1,0,1,0.509756,1,0,1,republican
1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,republican
0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,republican
1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1,democrat
1,1,1,0,0,0,1,1,1,0,0.362319,0,0,0,0,0.812689,democrat
1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0.812689,democrat
1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,democrat
1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,democrat
